"id (S)","location (S)","isCapital (BOOL)"
"91e6b380-1965-48a9-88e1-e235dd70fb61","city#earth#south america#venezuela#caracas","true"
"8115d1e8-206b-4781-a1c8-3d1c758bdd72","city#earth#north america#puerto rico#san juan","true"
"3e3459c9-d8d4-4bfa-b60d-a4c50274e9f5","city#earth#asia#palestinian territory#east jerusalem","true"
"e9af9571-bbd8-438b-999b-56c56fb4e64d","city#earth#oceania#palau#melekeok","true"
"ef886f6a-41ac-4c58-a2e5-d09c78330f60","city#earth#europe#portugal#lisbon","true"
"d84a3a44-d30a-4940-b48c-c03fee1525ae","city#earth#europe#svalbard and jan mayen#longyearbyen","true"
"d0458262-4185-4d35-a759-a56087e5e577","city#earth#south america#paraguay#asuncion","true"
"7afa9b1c-5797-477f-9f85-b812f3f2d04c","city#earth#asia#iraq#baghdad","true"
"4bf3da1c-a681-44d3-b34b-e3e50a58eb6c","city#earth#north america#panama#panama city","true"
"668f2fd5-1f1c-4b4c-808a-5865f8097418","city#earth#oceania#french polynesia#papeete","true"
"b03a3910-ba6e-475c-b049-29fb65cd69da","city#earth#oceania#papua new guinea#port moresby","true"
"e0f3b702-7d1a-45b2-96a5-60503f5ac87e","city#earth#south america#peru#lima","true"
"b5254b7c-1f59-4e24-9105-8edca8458a42","city#earth#asia#pakistan#islamabad","true"
"9760038c-f9ad-4cb2-8be7-9ac28b252568","city#earth#asia#philippines#manila","true"
"8051235a-2471-4838-b95b-97c9c69f6112","city#earth#oceania#pitcairn#adamstown","true"
"589f43b8-6f4d-4646-8d28-6f29da71d79b","city#earth#europe#poland#warsaw","true"
"5aaade5e-8837-40e9-8aad-604c72f11375","city#earth#north america#saint pierre and miquelon#saint-pierre","true"
"e4fa2884-a296-4bb8-94eb-8b333989bb63","city#earth#africa#zambia#lusaka","true"
"c53b1dc9-612f-4ce9-92a6-2da52b261778","city#earth#africa#western sahara#el-aaiun","true"
"701525dc-e196-489e-ae59-ed7843d9338a","city#earth#europe#estonia#tallinn","true"
"8000d879-b058-4c7c-804e-9184ebd9f987","city#earth#africa#egypt#cairo","true"
"274f1f94-25c3-424d-a200-281f31de31b8","city#earth#africa#south africa#pretoria","true"
"4e7d5872-81a9-438f-ad2b-fcb318325845","city#earth#south america#ecuador#quito","true"
"aff9ebd1-4df0-41c1-9b0a-5150b140b57d","city#earth#europe#italy#rome","true"
"3e734d07-c7a0-441a-a3d9-3bf7b9732150","city#earth#asia#vietnam#hanoi","true"
"200cb22e-a411-4a38-a473-5ef4a091f944","city#earth#oceania#solomon islands#honiara","true"
"b05bcefd-4826-4a3b-9835-56845cae699b","city#earth#africa#ethiopia#addis ababa","true"
"027d707e-a363-4a2e-a65c-301fb5b97503","city#earth#africa#somalia#mogadishu","true"
"bc63c97a-4947-4ac1-8ca5-bb0ff52330ef","city#earth#africa#zimbabwe#harare","true"
"88fa704a-66c5-430e-94dd-06a142925674","city#earth#asia#saudi arabia#riyadh","true"
"55c3ee28-fcbc-446e-b24b-ec485a8d9ec0","city#earth#europe#spain#madrid","true"
"239d0eea-551c-451b-8d55-44f2a3f5650d","city#earth#africa#eritrea#asmara","true"
"828c33c2-84a5-4999-a4b8-9ad25d528f46","city#earth#europe#montenegro#podgorica","true"
"7aac2d23-4f1f-4670-b069-97ca248bd8cc","city#earth#europe#moldova#chisinau","true"
"35d6a457-b8d3-4823-843e-6b29eee2d662","city#earth#africa#madagascar#antananarivo","true"
"6c3e6b5a-b67e-4cd4-beff-2df5df84b621","city#earth#north america#saint martin#marigot","true"
"5c8d8de4-ddaa-463e-bae0-b254b8b1880b","city#earth#africa#morocco#rabat","true"
"915dfd8d-db4e-489f-aee4-bc0eff3466ed","city#earth#europe#monaco#monaco","true"
"62ffadbc-bc51-497a-9f2d-d26b3f0f0cfa","city#earth#asia#uzbekistan#tashkent","true"
"3478a202-bcea-43fa-924f-e2fc7121c119","city#earth#asia#myanmar#nay pyi taw","true"
"8838b8ab-31b6-433a-ac19-50b657643ef5","city#earth#africa#mali#bamako","true"
"15cfb73d-8c05-4eca-8054-68073a35efba","city#earth#asia#macao#macao","true"
"59934635-fca3-41a2-b102-caa6ca6927f1","city#earth#asia#mongolia#ulan bator","true"
"8690311f-23a0-4af4-81e1-c93514ed0137","city#earth#oceania#marshall islands#majuro","true"
"d5a223f5-81d2-4c4b-a56d-d1c0bd058383","city#earth#europe#macedonia#skopje","true"
"6bd6b548-530d-4cf0-9e2a-55d12f197bf0","city#earth#africa#mauritius#port louis","true"
"4201c794-edf1-446e-947b-617a8e73709c","city#earth#europe#malta#valletta","true"
"5abc5b59-8098-47de-a401-3151df5085f9","city#earth#africa#malawi#lilongwe","true"
"ce8d25de-d666-4f36-96a8-412713c80cd5","city#earth#asia#maldives#male","true"
"70efb61d-565b-495d-a432-f46b88e6060b","city#earth#north america#martinique#fort-de-france","true"
"d6d34b14-6548-4c69-82e3-71de6e55cdf4","city#earth#oceania#northern mariana islands#saipan","true"
"9f710688-a45d-47a1-85c3-7bd9479f9ea3","city#earth#north america#montserrat#plymouth","true"
"ccf72cf7-a220-473b-a0d5-9cf64cca19c4","city#earth#africa#mauritania#nouakchott","true"
"5dbf3a25-2961-4326-862f-2683e19dfdf2","city#earth#europe#isle of man#douglas, isle of man","true"
"84ac0b4e-0c88-418d-899f-86203a34efae","city#earth#africa#uganda#kampala","true"
"2ee24e5e-4760-4328-b835-b765519e813f","city#earth#africa#tanzania#dodoma","true"
"ca56bfc1-8d3c-4fc7-9892-8f25d11e8fe4","city#earth#asia#malaysia#kuala lumpur","true"
"d4c93748-ab06-4bee-84f6-e9ad09ff0208","city#earth#north america#mexico#mexico city","true"
"be149897-a6e9-4da3-9103-d0596a5cbe41","city#earth#asia#israel#jerusalem","true"
"ece76dec-8439-423c-85f7-ec22332a33b0","city#earth#europe#france#paris","true"
"c516025e-6e15-4f38-b4f2-61a25c73dfec","city#earth#asia#british indian ocean territory#diego garcia","true"
"2c7580c6-638a-4fe5-a7d1-c830b1b5c0e4","city#earth#africa#saint helena#jamestown","true"
"34cf7ccb-e74e-4eaa-a33c-cf3bc16b1454","city#earth#europe#finland#helsinki","true"
"5b5990ff-d189-425e-a01f-586dee36132b","city#earth#oceania#fiji#suva","true"
"394f9e86-d3ec-473a-af87-ae36328df132","city#earth#south america#falkland islands#stanley","true"
"ae0576c0-e328-46b9-8baa-bf42ff4cefa7","city#earth#oceania#micronesia#palikir","true"
"f7dbbc04-1a8c-43ff-9dcb-a29b35e5c88e","city#earth#europe#faroe islands#torshavn","true"
"b571d4fa-46e5-4274-8889-8b1fb5e66004","city#earth#north america#nicaragua#managua","true"
"1c15e082-9941-47ae-8134-37a36b0cdad2","city#earth#europe#netherlands#amsterdam","true"
"71147a9b-10f1-426c-acbe-970b572fdb5a","city#earth#europe#norway#oslo","true"
"8e1a2927-56fa-47d9-8fa5-d127d667b57b","city#earth#africa#namibia#windhoek","true"
"b59defaf-b188-4b6e-b9ae-744316bcf205","city#earth#oceania#vanuatu#port vila","true"
"49411925-07db-4dbd-84e1-24e10ac93d20","city#earth#oceania#new caledonia#noumea","true"
"ce2fc569-bbe1-48ff-a7f0-c82832dd490c","city#earth#africa#niger#niamey","true"
"a8b00c76-0284-46b4-8815-0613fe0f9b4c","city#earth#oceania#norfolk island#kingston","true"
"5e61d046-ab31-448b-9fe6-e17ec348357b","city#earth#africa#nigeria#abuja","true"
"19203916-0ff7-43ca-878e-30135674c6ad","city#earth#oceania#new zealand#wellington","true"
"57249924-9517-4cf8-b933-1507fe60c033","city#earth#asia#nepal#kathmandu","true"
"8714405d-6a3a-4d49-9225-10da553f701a","city#earth#oceania#nauru#yaren","true"
"377231fe-fe72-456b-bf72-304b41571973","city#earth#oceania#niue#alofi","true"
"bfc3f9e1-8b2a-4b47-81ad-c15199a330c7","city#earth#oceania#cook islands#avarua","true"
"48e15a04-08aa-4f46-a8b8-c7723f8952c9","city#earth#europe#kosovo#pristina","true"
"bc9f3298-68a3-4c05-9b2c-188d36f110e6","city#earth#africa#ivory coast#yamoussoukro","true"
"8d23f86a-71a1-43a7-a776-9fcc81964dcf","city#earth#europe#switzerland#berne","true"
"c4e082d1-0526-4426-9f1e-32f3f02b1b2f","city#earth#south america#colombia#bogota","true"
"f2f6098f-1106-441b-9bdb-32322f7f455b","city#earth#asia#china#beijing","true"
"5c52671f-1c6e-44bb-a430-9443317a53b2","city#earth#africa#cameroon#yaounde","true"
"ef5726fa-e39a-417d-99b5-d0fc4f4cad89","city#earth#south america#chile#santiago","true"
"b1457aa2-0746-4b79-b9c2-1cbb9a3937da","city#earth#asia#cocos islands#west island","true"
"d657fad7-9639-4f0e-9fd6-8ae013d63342","city#earth#north america#canada#ottawa","true"
"247580ea-3c50-4068-a75b-2c4e4192b3fa","city#earth#africa#republic of the congo#brazzaville","true"
"64965c2d-3911-4510-9cd4-62dbb6c28ea5","city#earth#africa#central african republic#bangui","true"
"dd8b616d-6aaf-4e0b-ba16-b88bdf5aa5c0","city#earth#africa#democratic republic of the congo#kinshasa","true"
"e3bb8270-19e6-4050-8dad-6f12e2d207c0","city#earth#europe#czech republic#prague","true"
"a6ae4583-ba8f-478a-8950-5b9a25cb1548","city#earth#europe#cyprus#nicosia","true"
"8fa9707d-df1f-46dc-95f7-41198e3c78ad","city#earth#asia#christmas island#flying fish cove","true"
"b1205d0d-3652-4808-a64d-540844651459","city#earth#north america#costa rica#san jose","true"
"47be85fc-a3f5-411b-a99e-1e9e8ecdbfe9","city#earth#north america#curacao# willemstad","true"
"0fa6d187-0196-4c9b-a6ba-be57513ac9e7","city#earth#africa#cape verde#praia","true"
"ca06139f-ab62-4002-b3bb-74e0133b6fe2","city#earth#north america#cuba#havana","true"
"5efab360-6c2b-4bf5-b748-a16979e45c3c","city#earth#africa#swaziland#mbabane","true"
"ced1dbbc-872d-4702-a90c-934345fffc1a","city#earth#asia#syria#damascus","true"
"fbbc7616-b08c-4239-b3a0-2bd212b3b5a4","city#earth#north america#sint maarten#philipsburg","true"
"a2da9a4b-0002-4e2e-9889-faef81dcb1b4","city#earth#asia#kyrgyzstan#bishkek","true"
"4446d625-9a2f-45cd-9f21-716bce91ed33","city#earth#africa#kenya#nairobi","true"
"19a88dd6-e6b2-4ef8-9fec-fb5ccd7bd90b","city#earth#africa#south sudan#juba","true"
"ee31750b-9408-461c-a686-1f91d50e64b3","city#earth#south america#suriname#paramaribo","true"
"9f208edf-43a4-4175-a5b9-e1cf31ecb2d7","city#earth#oceania#kiribati#tarawa","true"
"f219e4a5-bcda-433c-9236-ba6766edbf25","city#earth#asia#cambodia#phnom penh","true"
"062f6174-6efc-43df-8304-b3151852dbd4","city#earth#north america#saint kitts and nevis#basseterre","true"
"ba496587-67e5-4ad2-bb0b-45d18f79c2af","city#earth#africa#comoros#moroni","true"
"fb278480-2ed5-4d3f-b90a-17a089025637","city#earth#africa#sao tome and principe#sao tome","true"
"bcdca5c8-5a4c-49c5-be18-7dfadeb1aa75","city#earth#europe#slovakia#bratislava","true"
"ee98565b-9faf-4bca-877b-a0e0efe04f4f","city#earth#asia#south korea#seoul","true"
"f8630769-3b68-45b2-8161-76d97ba84e73","city#earth#europe#slovenia#ljubljana","true"
"65062f82-d934-4e72-872e-4525b5c55301","city#earth#asia#north korea#pyongyang","true"
